Uploaded Count,Created Count,Published Count,Uploaded Duration (hh:mm:ss),Created Duration (hh:mm:ss),Published Duration (hh:mm:ss),User_ID,Channel_ID
247,1029,18,50:09:11,100:20:32,1:13:31,3,1
176,176,0,39:09:40,39:09:40,0:00:00,20,2
133,560,3,18:45:34,41:55:36,0:04:17,30,1
104,182,2,11:26:06,15:56:03,0:21:46,2,1
103,487,0,28:38:27,42:19:41,0:00:00,11,2
99,367,0,24:12:24,35:17:01,0:00:00,11,3
93,392,0,9:46:43,16:53:33,0:00:00,42,2
91,346,1,13:37:39,19:22:44,0:02:02,42,3
91,406,0,43:31:44,71:48:15,0:00:00,4,2
87,408,1,23:34:44,49:57:33,0:00:09,3,2
85,321,0,17:59:38,28:26:13,0:00:00,29,1
84,410,2,20:17:10,47:41:22,0:04:32,6,1
80,84,0,9:33:01,9:36:56,0:00:00,37,1
74,144,3,6:45:21,8:34:33,0:16:15,15,1
72,270,10,5:00:33,9:12:45,0:14:01,42,1
70,146,4,11:57:26,15:58:08,0:08:58,16,2
67,227,0,11:30:08,21:23:25,0:00:00,36,2
67,274,0,8:39:38,17:04:24,0:00:00,3,4
67,201,7,8:44:16,18:22:08,0:25:15,1,1
66,247,0,16:24:56,21:28:37,0:00:00,35,3
64,306,1,14:21:36,32:10:00,0:02:20,4,1
54,97,0,8:10:16,11:02:16,0:00:00,15,2
53,155,2,5:04:27,10:24:40,0:02:13,24,1
52,149,0,15:39:10,22:04:23,0:00:00,10,1
51,69,2,4:32:25,4:50:01,0:01:44,18,1
50,267,0,23:53:13,35:06:59,0:00:00,12,3
50,90,2,2:38:35,4:07:49,0:01:32,16,1
46,181,0,9:16:32,14:05:19,0:00:00,35,2
46,231,0,8:52:23,20:58:38,0:00:00,3,5
45,74,0,8:14:13,9:51:39,0:00:00,7,2
44,167,4,8:01:47,15:41:58,0:03:55,30,2
42,148,1,14:38:36,19:10:34,0:00:30,29,2
42,115,0,2:52:50,5:40:15,0:00:00,24,4
40,119,0,3:21:53,6:33:11,0:00:00,28,1
38,176,0,14:03:30,22:48:20,0:00:00,29,3
37,169,1,3:59:02,9:26:38,0:08:56,29,6
36,74,5,2:11:35,3:39:18,0:08:49,15,3
35,117,1,5:14:23,7:52:02,0:02:30,16,3
35,40,0,1:56:19,2:03:50,0:00:00,14,3
34,111,1,2:36:22,3:56:57,0:07:17,38,3
34,86,0,2:43:22,4:42:36,0:00:00,5,4
33,136,0,16:27:45,20:41:46,0:00:00,36,3
32,84,0,3:07:17,3:51:47,0:00:00,45,3
32,198,0,6:56:10,17:08:26,0:00:00,23,1
31,71,1,1:57:32,2:58:53,0:02:00,14,1
29,113,1,6:43:07,12:32:02,0:01:10,13,3
28,82,0,4:50:01,7:21:00,0:00:00,12,2
28,62,0,4:56:06,5:52:39,0:00:00,35,7
28,113,0,6:21:28,12:59:08,0:00:00,24,2
27,82,6,0:59:25,1:44:09,0:04:03,40,1
26,113,0,4:17:01,6:49:55,0:00:00,38,2
26,110,1,3:42:30,9:14:23,0:02:56,29,5
26,87,0,4:24:01,8:21:51,0:00:00,30,3
26,199,0,15:12:26,32:54:27,0:00:00,13,2
25,92,0,3:37:53,8:14:21,0:00:00,28,2
25,74,0,6:31:08,10:39:53,0:00:00,5,2
25,98,3,4:28:42,11:23:37,0:05:59,1,2
25,70,0,6:19:12,9:21:45,0:00:00,10,3
23,76,0,2:42:21,4:49:20,0:00:00,1,4
22,95,2,1:48:22,4:40:53,0:05:31,42,5
22,26,0,0:23:28,0:30:05,0:00:00,22,2
22,50,3,4:31:54,6:54:36,0:04:06,2,2
22,57,0,10:05:09,10:42:09,0:00:00,5,1
21,52,0,1:08:45,2:04:10,0:00:00,24,5
21,73,0,4:40:55,7:04:35,0:00:00,8,2
21,58,0,2:11:43,5:04:36,0:00:00,1,8
17,60,0,1:37:58,2:38:12,0:00:00,42,8
17,74,0,4:13:18,5:11:25,0:00:00,39,2
17,27,1,1:40:25,2:14:05,0:01:12,8,1
17,78,0,1:32:26,3:58:47,0:00:00,3,3
17,115,0,7:47:56,14:11:02,0:00:00,6,2
16,29,0,0:50:31,1:05:47,0:00:00,15,8
16,79,0,4:14:22,9:29:31,0:00:00,30,9
16,62,0,2:32:56,3:58:05,0:00:00,34,6
16,46,0,4:51:12,6:27:25,0:00:00,10,2
16,38,0,3:01:14,4:14:53,0:00:00,19,2
15,16,0,0:14:05,0:14:23,0:00:00,31,1
14,24,0,0:47:02,0:53:15,0:00:00,16,8
14,14,0,1:26:31,1:26:31,0:00:00,37,3
14,85,0,5:50:46,12:48:20,0:00:00,3,7
13,41,0,2:48:45,3:24:59,0:00:00,39,3
13,41,0,1:06:31,1:50:06,0:00:00,15,5
13,40,1,0:42:19,1:07:22,0:01:12,40,3
13,82,0,2:18:14,5:26:29,0:00:00,30,10
13,77,2,2:01:38,4:34:16,0:07:40,4,5
12,21,0,4:29:54,4:51:52,0:00:00,22,1
12,40,0,1:44:50,2:33:01,0:00:00,30,11
12,23,0,0:41:42,1:17:25,0:00:00,28,3
12,38,0,1:06:18,2:35:43,0:00:00,28,5
12,21,0,1:34:28,2:15:25,0:00:00,8,5
12,21,0,1:45:39,1:59:33,0:00:00,6,4
11,57,0,2:59:10,4:56:56,0:00:00,29,9
11,19,0,1:23:50,1:53:01,0:00:00,26,2
11,32,0,1:09:39,2:29:05,0:00:00,1,7
10,12,3,0:08:27,0:09:02,0:00:42,14,2
10,23,0,1:17:54,2:04:09,0:00:00,12,1
10,22,0,0:19:05,0:32:27,0:00:00,35,9
10,16,0,0:28:44,0:38:40,0:00:00,11,1
10,23,0,0:53:07,1:43:38,0:00:00,13,1
10,20,0,0:22:39,0:37:16,0:00:00,28,6
10,27,0,0:17:27,0:39:58,0:00:00,24,8
10,59,0,1:22:11,3:41:30,0:00:00,23,2
10,43,0,2:31:59,5:48:23,0:00:00,23,7
10,23,0,0:52:49,1:45:44,0:00:00,8,6
10,51,0,2:19:46,5:46:58,0:00:00,23,3
9,27,0,0:58:45,1:17:17,0:00:00,38,5
9,9,0,0:32:16,0:32:16,0:00:00,31,2
9,44,0,0:54:38,1:42:47,0:00:00,42,9
9,58,1,0:55:48,2:37:46,0:03:01,29,7
9,42,0,2:01:23,4:03:22,0:00:00,3,6
9,21,0,0:39:59,0:59:55,0:00:00,16,4
9,24,0,1:15:16,1:39:01,0:00:00,2,4
8,22,0,0:40:55,0:52:20,0:00:00,45,2
8,43,0,1:44:55,2:45:19,0:00:00,20,3
8,22,0,0:35:20,0:59:33,0:00:00,28,12
8,14,0,0:35:20,0:57:33,0:00:00,28,13
8,12,0,0:18:13,0:27:45,0:00:00,24,7
7,12,0,0:20:53,0:36:03,0:00:00,18,2
7,11,0,0:16:50,0:27:22,0:00:00,34,10
7,20,0,0:28:10,1:08:22,0:00:00,29,11
7,38,0,2:11:06,5:18:36,0:00:00,28,9
7,18,0,0:46:53,1:40:13,0:00:00,8,3
7,15,0,0:11:47,0:18:00,0:00:00,13,5
7,15,0,0:52:35,1:11:16,0:00:00,6,7
6,20,0,0:17:59,0:40:49,0:00:00,15,9
6,15,0,0:26:30,1:02:22,0:00:00,28,8
6,15,0,0:15:12,0:36:01,0:00:00,28,14
6,7,0,0:37:08,0:40:23,0:00:00,17,3
6,28,0,3:05:17,4:28:47,0:00:00,8,8
6,13,0,0:23:18,0:47:04,0:00:00,8,7
6,17,0,0:48:11,1:33:37,0:00:00,4,3
5,5,0,0:34:36,0:34:36,0:00:00,22,3
5,19,5,0:47:14,0:59:33,0:01:47,38,1
5,5,0,2:22:39,2:22:39,0:00:00,35,8
5,9,4,0:19:44,0:24:30,0:04:44,18,3
5,12,3,0:08:20,0:12:56,0:03:08,35,1
5,13,0,0:17:13,0:30:20,0:00:00,29,8
5,7,0,0:04:23,0:06:27,0:00:00,34,5
5,22,0,2:18:43,3:36:15,0:00:00,29,10
5,5,0,2:37:16,2:37:16,0:00:00,12,8
5,13,0,0:40:48,1:24:43,0:00:00,32,3
5,19,0,0:22:05,0:55:32,0:00:00,28,15
5,12,0,0:12:40,0:25:30,0:00:00,28,7
5,19,0,0:19:56,0:50:34,0:00:00,30,8
5,18,0,0:26:19,0:58:16,0:00:00,8,4
5,5,0,0:23:44,0:23:44,0:00:00,2,3
5,14,0,0:55:05,1:22:44,0:00:00,9,1
4,65,0,5:00:45,6:45:54,0:00:00,11,12
4,15,0,1:06:38,2:01:56,0:00:00,11,4
4,8,0,0:04:42,0:07:43,0:00:00,24,3
4,11,0,0:06:44,0:10:00,0:00:00,13,4
4,9,0,0:11:59,0:29:09,0:00:00,23,8
4,10,0,0:18:44,0:32:46,0:00:00,1,6
4,11,0,0:52:04,1:20:57,0:00:00,26,1
3,10,0,0:13:46,0:19:59,0:00:00,42,16
3,10,0,0:03:00,0:06:22,0:00:00,33,3
3,3,0,0:16:51,0:16:51,0:00:00,14,8
3,20,3,0:12:20,0:44:40,0:02:54,41,1
3,3,0,0:10:10,0:10:10,0:00:00,14,7
3,6,0,0:09:48,0:15:03,0:00:00,18,10
3,7,0,0:11:00,0:19:14,0:00:00,28,11
3,6,0,0:04:20,0:06:32,0:00:00,13,11
3,8,0,0:19:15,0:25:22,0:00:00,23,4
3,45,0,1:41:17,6:23:34,0:00:00,23,5
3,20,0,0:16:13,0:57:50,0:00:00,1,5
3,11,0,1:00:29,1:32:21,0:00:00,9,2
3,12,0,0:31:06,0:45:06,0:00:00,14,4
3,13,0,0:16:23,0:37:08,0:00:00,4,4
2,9,0,0:14:03,0:19:59,0:00:00,39,8
2,10,0,0:29:00,0:36:39,0:00:00,39,5
2,2,0,0:17:02,0:17:02,0:00:00,11,8
2,2,0,0:05:19,0:05:19,0:00:00,41,5
2,2,0,1:30:30,1:30:30,0:00:00,43,3
2,3,0,0:20:13,0:21:07,0:00:00,12,17
2,12,0,0:08:48,0:14:58,0:00:00,39,1
2,2,0,0:24:48,0:24:48,0:00:00,25,8
2,2,0,1:04:56,1:04:56,0:00:00,17,8
2,2,0,0:01:09,0:01:09,0:00:00,34,2
2,5,0,0:06:44,0:14:22,0:00:00,34,11
2,5,0,0:08:04,0:16:49,0:00:00,13,10
2,10,0,0:08:50,0:22:05,0:00:00,28,17
2,6,0,0:08:50,0:14:09,0:00:00,28,18
2,5,0,0:08:04,0:18:24,0:00:00,28,10
2,3,0,0:08:50,0:11:15,0:00:00,30,12
2,3,0,0:04:21,0:08:23,0:00:00,16,10
2,7,0,0:13:41,0:33:57,0:00:00,11,5
2,5,0,0:12:22,0:27:46,0:00:00,26,5
2,5,0,0:03:27,0:07:11,0:00:00,3,8
2,9,0,0:15:45,0:41:51,0:00:00,1,10
2,6,0,0:09:39,0:23:04,0:00:00,4,7
1,3,0,0:02:46,0:03:47,0:00:00,42,14
1,1,0,0:02:24,0:02:24,0:00:00,35,18
1,1,0,0:57:31,0:57:31,0:00:00,20,1
1,2,0,0:01:00,0:01:39,0:00:00,44,5
1,1,0,0:03:04,0:03:04,0:00:00,38,8
1,1,0,0:26:03,0:26:03,0:00:00,37,2
1,4,0,0:00:40,0:01:41,0:00:00,44,1
1,44,0,2:19:35,5:58:58,0:00:00,40,12
1,7,0,0:06:23,0:24:41,0:00:00,42,7
1,3,0,0:01:19,0:02:38,0:00:00,39,16
1,5,0,0:00:44,0:03:15,0:00:00,36,1
1,2,0,0:00:14,0:00:32,0:00:00,34,1
1,1,0,0:02:10,0:02:10,0:00:00,30,6
1,2,0,0:00:37,0:00:44,0:00:00,34,8
1,1,0,0:07:18,0:07:18,0:00:00,14,6
1,2,0,0:05:06,0:07:48,0:00:00,33,7
1,2,0,0:04:25,0:08:15,0:00:00,28,16
1,1,0,0:00:00,0:00:00,0:00:00,5,6
1,1,0,0:00:00,0:00:00,0:00:00,30,16
1,1,0,0:00:00,0:00:00,0:00:00,15,10
1,1,0,0:03:33,0:03:33,0:00:00,15,11
1,1,0,0:06:53,0:06:53,0:00:00,16,17
1,1,0,0:05:16,0:05:16,0:00:00,5,8
1,1,0,0:00:54,0:00:54,0:00:00,2,12
1,2,0,0:07:30,0:08:18,0:00:00,16,16
1,1,0,0:00:00,0:00:00,0:00:00,26,4
1,3,0,0:00:48,0:01:55,0:00:00,1,16
1,1,0,0:03:28,0:03:28,0:00:00,1,11
1,3,0,0:04:29,0:13:17,0:00:00,10,4
1,81,0,0:00:19,0:03:24,0:00:00,16,12
1,1,0,0:00:19,0:00:19,0:00:00,16,7
1,2,0,0:01:12,0:01:38,0:00:00,21,4
1,5,0,0:07:49,0:18:02,0:00:00,6,3
0,5,0,0:00:00,0:01:16,0:00:00,27,3
0,2,0,0:00:00,0:00:31,0:00:00,33,2
0,2,0,0:00:00,0:05:50,0:00:00,1,3
0,2,0,0:00:00,0:00:24,0:00:00,16,9
0,2,0,0:00:00,0:01:26,0:00:00,23,11
0,1,0,0:00:00,0:01:08,0:00:00,25,1
0,1,0,0:00:00,0:00:07,0:00:00,21,1
0,1,0,0:00:00,0:00:31,0:00:00,18,8
0,1,0,0:00:00,0:00:53,0:00:00,16,5
0,1,0,0:00:00,0:01:00,0:00:00,6,5
0,1,0,0:00:00,0:00:35,0:00:00,14,11
0,1,0,0:00:00,0:01:13,0:00:00,23,10
0,1,0,0:00:00,0:00:15,0:00:00,15,4
